S.No.,Statement,Predicate
1,"If you're grateful, say thanks.",
2,"If the ice is thin, stay off.",
3,"If I had wings, I would fly.",
4,"If the baby cries, check on them.",
5,"If the door squeaks, oil the hinges.",
6,"If the fruit ripens, eat it soon.",
7,"If the ice cream melts, put it back.",
8,"If the paint is wet, don't touch it.",
9,"If you're focused, concentrate.",
10,"If you're brave, face fears.",
11,"If the bread is stale, make toast.",
12,"If you're persistent, don't give up.",
13,"If you're kind, help others.",
14,"If you're sleepy, go to bed.",
15,"If we hurry, we won't be late.",
16,"If you're motivated, start now.",
17,"If the car won't start, call a mechanic.",
18,"If you're inspired, take action.",
19,"If I win the lottery, I'll travel the world.",
20,"If you're ready, let's begin.",
21,"If the music is too loud, turn it down.",
22,"If you're lost, ask for help.",
23,"If you're curious, explore.",
24,"If the cake is ready, take it out of the oven.",
25,"If the flower wilts, water it.",
26,"If you hear thunder, come inside.",
27,"If you see a shooting star, make a wish.",
28,"If you're energetic, exercise.",
29,"If you want to succeed, work hard.",
30,"If you're early, wait outside.",
31,"If you're sincere, mean what you say.",
32,"If you're careful, avoid mistakes.",
33,"If the light is red, stop driving.",
34,"If you're lucky, appreciate it.",
35,"If the clock stops, change batteries.",
36,"If you need help, just ask me.",
37,"If you're confused, ask questions.",
38,"If the water boils, add the pasta.",
39,"If the movie starts at eight, we should leave by seven.",
40,"If you finish first, help others.",
41,"If you're reliable, keep promises.",
42,"If the bird sings, listen carefully.",
43,"If you're organized, make lists.",
44,"If you're adventurous, try new things.",
45,"If you're creative, make something.",
46,"If the dog barks, check who's there.",
47,"If the garden grows, share produce.",
48,"If you're hungry, there's food in the fridge.",
49,"If you're resourceful, find solutions.",
50,"If you mix blue and yellow, you get green.",
51,"If you break something, please tell me.",
52,"If the power goes out, use candles.",
53,"If the dish breaks, sweep it up.",
54,"If the light bulb burns out, replace it.",
55,"If you're thirsty, drink water.",
56,"If my dog hears a noise, he always barks.",
57,"If the computer crashes, restart it.",
58,"If you're worried, talk to someone.",
59,"If the milk smells bad, throw it out.",
60,"If you're lonely, call a friend.",
61,"If the bell rings, answer the door.",
62,"If the phone rings, could you answer it?",
63,"If the store is open, could you buy some milk?",
64,"If I had more time, I would learn to play piano.",
65,"If the tea is bitter, add sugar.",
66,"If it's sunny, let's have a picnic.",
67,"If it rains tomorrow, I'll bring an umbrella.",
68,"If the rain stops, go outside.",
69,"If the leaves fall, rake them.",
70,"If we leave now, we'll catch the train.",
71,"If the food is hot, let it cool.",
72,"If you're scared, hold my hand.",
73,"If the road floods, find another route.",
74,"If you're honest, tell the truth.",
75,"If you're late, apologize.",
